,solo_tackles,assists_on_tackles,total_tackles,interceptions,interceptions_returned_for_touchdown,yards_returned_from_interceptions,games,player_id,name,team_abbreviation
152,60.0,36.0,96.0,4.0,0.0,63.0,31.0,cj-moore-2,C.J. Moore,Ole Miss
154,50.0,24.0,74.0,6.0,1.0,95.0,20.0,byron-murphy-1,Byron Murphy,Washington
155,21.0,16.0,37.0,3.0,0.0,120.0,24.0,david-long-3,David Long,Michigan
156,90.0,37.0,127.0,6.0,3.0,229.0,22.0,dj-hayden-1,D.J. Hayden,Houston
157,77.0,46.0,123.0,5.0,0.0,87.0,37.0,travis-carrie-1,Travis Carrie,Ohio
158,11.0,6.0,17.0,1.0,0.0,0.0,5.0,donte-deayon-1,Donte Deayon,Boise State
159,146.0,51.0,197.0,2.0,0.0,0.0,50.0,darian-stewart-1,Darian Stewart,South Carolina
160,6.0,2.0,8.0,0.0,0.0,0.0,3.0,jabrill-peppers-1,Jabrill Peppers,Michigan
161,94.0,32.0,126.0,9.0,3.0,303.0,38.0,eddie-jackson-6,Eddie Jackson,Alabama
162,29.0,8.0,37.0,2.0,0.0,21.0,15.0,cyrus-jones-2,Cyrus Jones,Alabama
164,69.0,43.0,112.0,3.0,0.0,86.0,29.0,deionte-thompson-1,Deionte Thompson,Alabama
165,107.0,56.0,163.0,7.0,3.0,110.0,38.0,nickell-robey-1,Nickell Robey,USC
166,54.0,20.0,74.0,3.0,0.0,37.0,20.0,joshua-kalu-1,Joshua Kalu,Nebraska
167,84.0,48.0,132.0,6.0,2.0,230.0,26.0,xavier-woods-1,Xavier Woods,Louisiana Tech
168,109.0,43.0,152.0,4.0,1.0,117.0,39.0,orlando-scandrick-1,Orlando Scandrick,Boise State
169,195.0,126.0,321.0,4.0,0.0,74.0,51.0,chris-banjo-1,Chris Banjo,SMU
170,56.0,30.0,86.0,3.0,0.0,9.0,39.0,tony-brown-8,Tony Brown,Alabama
171,145.0,53.0,198.0,15.0,1.0,126.0,50.0,casey-hayward-1,Casey Hayward,Vanderbilt
172,92.0,29.0,121.0,8.0,1.0,91.0,40.0,janoris-jenkins-1,Janoris Jenkins,Florida
173,51.0,37.0,88.0,2.0,1.0,34.0,34.0,maurice-smith-4,Maurice Smith,Alabama
175,78.0,32.0,110.0,5.0,1.0,106.0,24.0,bradley-roby-1,Bradley Roby,Ohio State
176,72.0,66.0,138.0,3.0,0.0,0.0,24.0,byron-jones-2,Byron Jones,Connecticut
177,72.0,38.0,110.0,7.0,0.0,33.0,23.0,vonn-bell-2,Vonn Bell,Ohio State
178,105.0,26.0,131.0,12.0,4.0,246.0,45.0,bobby-mccain-1,Bobby McCain,Memphis
179,79.0,34.0,113.0,6.0,2.0,168.0,34.0,shaquill-griffin-1,Shaquill Griffin,UCF
180,105.0,40.0,145.0,8.0,1.0,147.0,40.0,sidney-jones-1,Sidney Jones,Washington
181,101.0,88.0,189.0,2.0,0.0,18.0,24.0,clayton-fejedelem-1,Clayton Fejedelem,Illinois
182,135.0,42.0,177.0,6.0,2.0,179.0,24.0,damarious-randall-1,Damarious Randall,Arizona State
183,42.0,22.0,64.0,6.0,2.0,173.0,26.0,darius-slay-1,Darius Slay,Mississippi State
184,103.0,22.0,125.0,7.0,1.0,67.0,23.0,dj-reed-2,D.J Reed,Kansas State
